hero,matchup_hero,ally_wins_with,ally_losses_with,ally_win_rate,enemy_wins_against,enemy_losses_against,enemy_win_rate,winrate_into_enemy,total_games_with,total_games_against,popularity_with,popularity_against,total games,total wins,total loss,average_winrate,total wins,total loss,total_games,ally_delta,matchup_average_winrate,occurance,Pairing Score,enemy_delta,enemy_delta2,counter_score,Counter Score,Beater Score
Abathur,Li-Ming,1041.941,1276.059,0.4495,1833.1806,2228.8194,0.4513,0.5487,2318,4062,0.01846550429,0.02660172543,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4685715229,0.5057735423,4062,0.3008335209,0.581991242,132.3812061,1.015316248,0.4007929705,-0.175845162
Abathur,LtMorales,323.986,409.014,0.442,409.9788,402.0212,0.5049,0.4951,733,812,0.007228166533,0.006274773958,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4599811233,0.5118322058,812,0.2557344071,0.5210165829,33.64635729,0.1923553052,0.2933980388,0.1580443491
Abathur,Lunara,365.9584,478.0416,0.4336,718.984,761.016,0.4858,0.5142,844,1480,0.01801212467,0.013777559,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4503882644,0.4955383833,1480,0.2548537499,0.5429128269,68.82985751,0.3574881336,0.3295520166,0.05442144129
Abathur,Lucio,1616.9132,1939.0868,0.4547,1628.1514,1412.8486,0.5354,0.4646,3556,3041,0.009715277598,0.01069975906,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4745387965,0.5244230741,3041,0.3214053489,0.4859182755,-22.53671898,0.6977786393,0.3227389951,0.3889827279
Abathur,Maiev,402.9822,383.0178,0.5127,704.0604,643.9396,0.5223,0.4777,786,1348,0.002117930516,0.00568408508,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5411981073,0.5430647598,1348,0.3035255425,0.5009964817,1.594372796,0.3136119935,0.3005779161,0.2727750793
Abathur,MalGanis,536.0536,559.9464,0.4891,508.0195,504.9805,0.5015,0.4985,1096,1013,0.008568874841,0.006150418405,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5141174647,0.5066673849,1013,0.300572908,0.5249226965,39.90938874,0.2408098091,0.3038838979,0.1427916664
Abathur,Malfurion,749.0641,871.9359,0.4621,904.0617,982.9383,0.4791,0.5209,1621,1887,0.01455996269,0.01163242571,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.483042825,0.5139532081,1887,0.2965648456,0.5505589373,81.17171361,0.4588788398,0.3444978066,0.0141759853
Abathur,Malthael,475.0245,475.9755,0.4995,618.951,539.049,0.5345,0.4655,951,1158,0.006476851732,0.005658177673,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5260709947,0.5206496317,1158,0.3021538126,0.4869536759,-20.87885771,0.2659651855,0.2866568836,0.3394619062
Abathur,Medivh,169.992,262.008,0.3935,430.041,439.959,0.4943,0.5057,432,870,0.00269437032,0.003601129563,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4052180868,0.4787170383,870,0.2108800261,0.5331838239,53.17227888,0.2083426592,0.302850314,0.09920485691
Abathur,Mei,535.9477,567.0523,0.4859,713.9952,718.0048,0.4986,0.5014,1103,1432,0.01637995803,0.01217129977,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5104355662,0.5175710274,1432,0.2986579112,0.5282519919,45.25138616,0.3414264282,0.3193340119,0.1315749953
Abathur,Mephisto,416.976,399.024,0.511,721.9811,641.0189,0.5297,0.4703,816,1363,0.004708671209,0.006601207285,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5392535804,0.5665415046,1363,0.303854354,0.4924774858,-12.03693095,0.3146434194,0.2958758507,0.3176111667
Abathur,Muradin,4133.074,4604.926,0.473,2946.8205,2650.1795,0.5265,0.4735,8738,5597,0.03337521697,0.02807844763,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4955855227,0.5241045536,5597,0.3755832994,0.4961611297,-6.142313116,1.296411705,0.3556544997,0.3560087568
Abathur,Murky,291.984,548.016,0.3476,364.0241,416.9759,0.4661,0.5339,840,781,0.003374439752,0.003357599938,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.3554548335,0.4663069022,781,0.2010159374,0.5653236079,105.1185986,0.1923974297,0.3168032716,-0.06015517232
Abathur,Nazeebo,760.9864,978.0136,0.4376,1574.8698,1576.1302,0.4998,0.5002,1739,3151,0.01742273116,0.02096427369,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4549521371,0.5233495517,3151,0.281782692,0.5268746402,43.04090447,0.7503596013,0.3514993307,0.1532123443
Abathur,Nova,227.0016,348.9984,0.3941,401.9782,484.0218,0.4537,0.5463,576,886,0.003912018446,0.004611518433,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4058842138,0.4919497723,886,0.2189606771,0.5793000291,127.9602427,0.2209416501,0.32979489,-0.1317042679
Abathur,Orphea,513.0346,448.9654,0.5333,704.0132,637.9868,0.5246,0.4754,962,1342,0.007610300785,0.01041477758,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5646445009,0.540478418,1342,0.3247754128,0.4983485161,-2.642383775,0.3114637937,0.2988225659,0.286414407
Abathur,Probius,89.995,115.005,0.439,224.0134,152.9866,0.5942,0.4058,205,377,0.001897717557,0.001968962927,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4565513221,0.5482694163,377,0.2164561821,0.4189401231,-130.8503218,0.08110234077,0.214341261,0.600474273
Abathur,Qhira,328.972,429.028,0.434,399.9912,412.0088,0.4926,0.5074,758,812,0.003406824011,0.006212596181,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.450844289,0.4845759033,812,0.2517076297,0.5351318844,56.30379461,0.1947895951,0.3013467336,0.08877983825
Abathur,Ragnaros,657.951,672.049,0.4947,1973.902,1589.098,0.554,0.446,1330,3563,0.01136039794,0.01144589238,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5205568618,0.5397140828,3563,0.3117889987,0.4645600385,-56.79918516,0.8014026701,0.3147240878,0.5227710161
